Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location,Lat,Long
110073,DORMINY MEDICAL CENTER,"200 PERRY HOUSE ROAD, BOX 1447",,,FITZGERALD,GA,31750,BEN HILL,2294247100,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"200 PERRY HOUSE ROAD, BOX 1447
FITZGERALD, GA 31750
(31.697422852000443, -83.26087867599966)",31.69742285200044,-83.26087867599966
110074,ATHENS REGIONAL MEDICAL CENTER,1199 PRINCE AVENUE,,,ATHENS,GA,30606,CLARKE,7064757000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"1199 PRINCE AVENUE
ATHENS, GA 30606
(33.96239294200046, -83.39796342299968)",33.9623929420004,-83.39796342299968
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,,,STATESBORO,GA,30458,BULLOCH,9124861500,Acute Care Hospitals,Proprietary,TRUE,"1499 FAIR ROAD
STATESBORO, GA 30458
(32.41521413100048, -81.76871568899963)",32.4152141310004,-81.76871568899963
110076,DEKALB MEDICAL CENTER,2701 N DECATUR ROAD,,,DECATUR,GA,30033,DEKALB,4045011000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"2701 N DECATUR ROAD
DECATUR, GA 30033
(33.79197298800045, -84.28361869999964)",33.7919729880004,-84.28361869999964
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,,,ATLANTA,GA,30308,FULTON,4046864411,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"550 PEACHTREE ST NE
ATLANTA, GA 30308
(33.769526071000485, -84.38517962799966)",33.76952607100048,-84.38517962799966
110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",,,ATLANTA,GA,30303,FULTON,4046164252,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"80 JESSE HILL, JR DRIVE SE
ATLANTA, GA 30303
(33.75168605400046, -84.38308915799968)",33.7516860540004,-84.38308915799968
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,,,ATLANTA,GA,30342,FULTON,6788435720,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"5665 PEACHTREE DUNWOODY ROAD
ATLANTA, GA 30342
(33.90823699900045, -84.35184187499965)",33.9082369990004,-84.35184187499965
110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,,,ATLANTA,GA,30309,FULTON,4046055000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"1968 PEACHTREE RD NW
ATLANTA, GA 30309
(33.808179264000444, -84.39365153199964)",33.80817926400044,-84.39365153199964
110086,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,610 SPARTA ROAD,,,SANDERSVILLE,GA,31082,WASHINGTON,4782402100,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"610 SPARTA ROAD
SANDERSVILLE, GA 31082
(32.99689780100044, -82.80488217999965)",32.9968978010004,-82.80488217999965
110087,GWINNETT MEDICAL CENTER,1000 MEDICAL CENTER BOULEVARD,,,LAWRENCEVILLE,GA,30045,GWINNETT,6783124310,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1000 MEDICAL CENTER BOULEVARD
LAWRENCEVILLE, GA 30045
(33.96447326600048, -84.01469902699966)",33.9644732660004,-84.01469902699966
110089,COFFEE REGIONAL MEDICAL CENTER,1101 OCILLA ROAD,,,DOUGLAS,GA,31533,COFFEE,2293841900,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1101 OCILLA ROAD
DOUGLAS, GA 31533
(31.50964520600047, -82.86349945099965)",31.5096452060004,-82.86349945099965
110091,ROCKDALE MEDICAL CENTER,"1412 MILSTEAD AVENUE, NE",,,CONYERS,GA,30012,ROCKDALE,7709183000,Acute Care Hospitals,Proprietary,TRUE,"1412 MILSTEAD AVENUE, NE
CONYERS, GA 30012
(33.681578911000486, -84.00297996099965)",33.68157891100048,-84.00297996099965
110092,DODGE COUNTY HOSPITAL,901 GRIFFIN AVE,,,EASTMAN,GA,31023,DODGE,4784484067,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"901 GRIFFIN AVE
EASTMAN, GA 31023
(32.18571935200049, -83.17874264099964)",32.1857193520004,-83.17874264099964
110095,TIFT REGIONAL MEDICAL CENTER,901 E 18TH STREET,,,TIFTON,GA,31793,TIFT,2293827120,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"901 E 18TH STREET
TIFTON, GA 31793
(31.458890691000477, -83.56145677599966)",31.45889069100047,-83.56145677599966
110100,JEFFERSON HOSPITAL,1067 PEACHTREE ST,,,LOUISVILLE,GA,30434,JEFFERSON,4786257000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1067 PEACHTREE ST
LOUISVILLE, GA 30434
(33.00865645800047, -82.40265572999965)",33.0086564580004,-82.40265572999965
110101,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,706 N PARRISH AVE,,,ADEL,GA,31620,COOK,2298968077,Acute Care Hospitals,Proprietary,TRUE,"706 N PARRISH AVE
ADEL, GA 31620
(31.143328037000458, -83.42454730599968)",31.14332803700045,-83.42454730599968
110104,CRISP REGIONAL HOSPITAL,902 7TH STREET NORTH,,,CORDELE,GA,31015,CRISP,2292763100,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"902 7TH STREET NORTH
CORDELE, GA 31015
(31.960109495000438, -83.78253291599964)",31.96010949500043,-83.78253291599964
110105,COLQUITT REGIONAL MEDICAL CENTER,3131 THOMASVILLE HWY BOX 40,,,MOULTRIE,GA,31768,COLQUITT,2299853420,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"3131 THOMASVILLE HWY BOX 40
MOULTRIE, GA 31768
(31.12106193700049, -83.78427929499964)",31.1210619370004,-83.78427929499964
110107,MEDICAL CENTER OF CENTRAL GEORGIA,777 HEMLOCK STREET,,,MACON,GA,31201,BIBB,4786336805,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"777 HEMLOCK STREET
MACON, GA 31201
(32.83272209500046, -83.63568430499964)",32.8327220950004,-83.63568430499964
110109,EMANUEL MEDICAL CENTER,117 KITE ROAD,,,SWAINSBORO,GA,30401,EMANUEL,4782891304,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"117 KITE ROAD
SWAINSBORO, GA 30401
(32.59308327700046, -82.34650335199967)",32.5930832770004,-82.34650335199967
110111,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER,"521 HILL STREET, SW",,,THOMSON,GA,30824,MCDUFFIE,7065951411,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"521 HILL STREET, SW
THOMSON, GA 30824
(33.46072714400049, -82.50741862599966)",33.4607271440004,-82.50741862599966
110113,BURKE MEDICAL CENTER,351 LIBERTY STREET,,,WAYNESBORO,GA,30830,BURKE,7065544435,Acute Care Hospitals,Proprietary,TRUE,"351 LIBERTY STREET
WAYNESBORO, GA 30830
(33.08362991800044, -82.01172591899967)",33.0836299180004,-82.01172591899967
110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,,,ATLANTA,GA,30312,FULTON,4042654000,Acute Care Hospitals,Proprietary,TRUE,"303 PARKWAY DR NE
ATLANTA, GA 30312
(33.76270741000047, -84.37416000699966)",33.7627074100004,-84.37416000699966
110121,GRADY GENERAL HOSPITAL,"1155 5TH STREET, SE",,,CAIRO,GA,39828,GRADY,2293770251,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"1155 5TH STREET, SE
CAIRO, GA 39828
(30.863138501000435, -84.20007463399963)",30.86313850100043,-84.20007463399963
110122,SOUTH GEORGIA MEDICAL CENTER,"2501 NORTH PATTERSON STREET, PO BOX 1727",,,VALDOSTA,GA,31603,LOWNDES,2293331020,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"2501 NORTH PATTERSON STREET, PO BOX 1727
VALDOSTA, GA 31603
(30.862269614000468, -83.28883903299965)",30.86226961400046,-83.28883903299965
110124,WAYNE MEMORIAL HOSPITAL,865 SOUTH FIRST STREET,,,JESUP,GA,31545,WAYNE,9125303302,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"865 SOUTH FIRST STREET
JESUP, GA 31545
(31.60228554100047, -81.89740445399968)",31.6022855410004,-81.89740445399968
110125,FAIRVIEW PARK HOSPITAL,200 INDUSTRIAL BOULEVARD,,,DUBLIN,GA,31021,LAURENS,4782743100,Acute Care Hospitals,Proprietary,TRUE,"200 INDUSTRIAL BOULEVARD
DUBLIN, GA 31021
(32.533267785000476, -82.94933869199969)",32.53326778500047,-82.94933869199969
110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,,,VIDALIA,GA,30474,TOOMBS,9125355828,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"ONE MEADOWS PARKWAY
VIDALIA, GA 30474
(32.215821064000465, -82.41055606399965)",32.21582106400046,-82.41055606399965
110129,"ST FRANCIS HOSPITAL, INC",2122 MANCHESTER EXPRESSWAY,,,COLUMBUS,GA,31995,MUSCOGEE,7065964020,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"2122 MANCHESTER EXPRESSWAY
COLUMBUS, GA 31995
(32.50690282800048, -84.96146221299966)",32.5069028280004,-84.96146221299966
110130,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,,,OCILLA,GA,31774,IRWIN,2294683845,Acute Care Hospitals,Government - Hospital District or Authority,FALSE,"710 N IRWIN AVENUE
OCILLA, GA 31774
(31.603254225000455, -83.25033114599967)",31.60325422500045,-83.25033114599967
110132,MEMORIAL HOSPITAL AND MANOR,1500 E SHOTWELL STREET,,,BAINBRIDGE,GA,39819,DECATUR,2292463500,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1500 E SHOTWELL STREET
BAINBRIDGE, GA 39819
(30.903815592000456, -84.55362139499965)",30.90381559200045,-84.55362139499965
110135,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,,,HAWKINSVILLE,GA,31036,PULASKI,4787830200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"222 PERRY HWY
HAWKINSVILLE, GA 31036
(32.29662587200045, -83.48744695699963)",32.2966258720004,-83.48744695699963
110142,EVANS MEMORIAL HOSPITAL,200 N RIVER STREET,,,CLAXTON,GA,30417,EVANS,9127395105,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"200 N RIVER STREET
CLAXTON, GA 30417
(32.16422194600045, -81.90042931499966)",32.1642219460004,-81.90042931499966
110143,WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,,,AUSTELL,GA,30106,COBB,7707324000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"3950 AUSTELL RD
AUSTELL, GA 30106
(33.85609686200047, -84.60196700199964)",33.8560968620004,-84.60196700199964
110146,SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,2000 DAN PROCTOR DRIVE,,,SAINT MARYS,GA,31558,CAMDEN,9125766401,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"2000 DAN PROCTOR DRIVE
SAINT MARYS, GA 31558
(30.781649747000472, -81.61648752399964)",30.78164974700047,-81.61648752399964
110150,OCONEE REGIONAL MEDICAL CENTER,821 N COBB STREET  POST OFFICE BOX 690,,,MILLEDGEVILLE,GA,31061,BALDWIN,4784543550,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"821 N COBB STREET POST OFFICE BOX 690
MILLEDGEVILLE, GA 31061
(33.08936702400047, -83.24804204499964)",33.0893670240004,-83.24804204499964
110153,PERRY HOSPITAL,1120 MORNINGSIDE DR,,,PERRY,GA,31069,HOUSTON,4789873600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"1120 MORNINGSIDE DR
PERRY, GA 31069
(32.46011035900045, -83.71119829699967)",32.4601103590004,-83.71119829699967
110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",,,ATLANTA,GA,30342,FULTON,4048518000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"1000 JOHNSON FERRY ROAD, NE
ATLANTA, GA 30342
(33.907899658000474, -84.35480907099964)",33.90789965800047,-84.35480907099964
110164,COLISEUM MEDICAL CENTER,350 HOSPITAL DRIVE,,,MACON,GA,31217,BIBB,4787654100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"350 HOSPITAL DRIVE
MACON, GA 31217
(32.84579793600045, -83.61879658499964)",32.8457979360004,-83.61879658499964
110165,SOUTHERN REGIONAL MEDICAL CENTER,"11 UPPER RIVERDALE ROAD, SW",,,RIVERDALE,GA,30274,CLAYTON,7709918160,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"11 UPPER RIVERDALE ROAD, SW
RIVERDALE, GA 30274
(33.577797391000445, -84.38957834799965)",33.57779739100044,-84.38957834799965
110168,REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD,,,ROME,GA,30165,FLOYD,7068023012,Acute Care Hospitals,Proprietary,TRUE,"501 REDMOND ROAD
ROME, GA 30165
(34.278180628000484, -85.19410868699964)",34.27818062800048,-85.19410868699964
110177,DOCTORS HOSPITAL,3651 WHEELER ROAD,,,AUGUSTA,GA,30909,RICHMOND,7066516008,Acute Care Hospitals,Proprietary,TRUE,"3651 WHEELER ROAD
AUGUSTA, GA 30909
(33.482528225000465, -82.09114513399965)",33.48252822500046,-82.09114513399965
110183,EMORY-ADVENTIST HOSPITAL,3949 SOUTH COBB DRIVE,,,SMYRNA,GA,30080,COBB,7704340710,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,"3949 SOUTH COBB DRIVE
SMYRNA, GA 30080
(33.85605417100044, -84.51380013299968)",33.8560541710004,-84.51380013299968
110184,WELLSTAR DOUGLAS HOSPITAL,8954 HOSPITAL DRIVE,,,DOUGLASVILLE,GA,30134,DOUGLAS,7709491500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"8954 HOSPITAL DRIVE
DOUGLASVILLE, GA 30134
(33.738479130000485, -84.73317082299968)",33.73847913000048,-84.73317082299968
110186,DOCTORS SPECIALTY HOSPITAL,616 19TH STREET,,,COLUMBUS,GA,31901,MUSCOGEE,7064944262,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"616 19TH STREET
COLUMBUS, GA 31901
(32.48087305900049, -84.98548085499965)",32.4808730590004,-84.98548085499965
110187,CHESTATEE REGIONAL HOSPITAL,227 MOUNTAIN DR,,,DAHLONEGA,GA,30533,LUMPKIN,7068646136,Acute Care Hospitals,Proprietary,TRUE,"227 MOUNTAIN DR
DAHLONEGA, GA 30533
(34.522804350000456, -83.97615156799964)",34.52280435000045,-83.97615156799964
110189,FANNIN REGIONAL HOSPITAL,2855 OLD HIGHWAY 5 NORTH,,,BLUE RIDGE,GA,30513,FANNIN,7066323711,Acute Care Hospitals,Proprietary,TRUE,"2855 OLD HIGHWAY 5 NORTH
BLUE RIDGE, GA 30513
(34.91685057100045, -84.37540807199969)",34.9168505710004,-84.37540807199969
110190,FLINT RIVER HOSPITAL,"509 SUMTER STREET, BOX 770",,,MONTEZUMA,GA,31063,MACON,4784723100,Acute Care Hospitals,Proprietary,TRUE,"509 SUMTER STREET, BOX 770
MONTEZUMA, GA 31063
(32.29401113200049, -84.02988145499967)",32.2940111320004,-84.02988145499967
110191,PIEDMONT HENRY HOSPITAL,1133 EAGLE'S LANDING PARKWAY,,,STOCKBRIDGE,GA,30281,HENRY,6786041000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1133 EAGLE'S LANDING PARKWAY
STOCKBRIDGE, GA 30281
(33.509310094000455, -84.22558381599964)",33.50931009400045,-84.22558381599964
110192,EMORY EASTSIDE MEDICAL CENTER,1700 MEDICAL WAY,,,SNELLVILLE,GA,30078,GWINNETT,7707362498,Acute Care Hospitals,Proprietary,TRUE,"1700 MEDICAL WAY
SNELLVILLE, GA 30078
(33.87745469800046, -84.01959756699966)",33.8774546980004,-84.01959756699966
110194,DONALSONVILLE HOSPITAL INC,102 HOSPITAL CIR,,,DONALSONVILLE,GA,39845,SEMINOLE,2295245217,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"102 HOSPITAL CIR
DONALSONVILLE, GA 39845
(31.04999025100045, -84.88128709399967)",31.0499902510004,-84.88128709399967
110198,NORTH FULTON HOSPITAL,3000 HOSPITAL BOULEVARD,,,ROSWELL,GA,30076,FULTON,7707512500,Acute Care Hospitals,Proprietary,TRUE,"3000 HOSPITAL BOULEVARD
ROSWELL, GA 30076
(34.06234408000046, -84.32048463199965)",34.0623440800004,-84.32048463199965
110200,NORTHSIDE MEDICAL CENTER,100 FRIST COURT,,,COLUMBUS,GA,31909,MUSCOGEE,7064942100,Acute Care Hospitals,Proprietary,FALSE,"100 FRIST COURT
COLUMBUS, GA 31909
(32.53510480400047, -84.95157002499968)",32.5351048040004,-84.95157002499968
110201,COLISEUM NORTHSIDE HOSPITAL,400 CHARTER BOULEVARD,,,MACON,GA,31210,BIBB,4787575990,Acute Care Hospitals,Proprietary,TRUE,"400 CHARTER BOULEVARD
MACON, GA 31210
(32.87178815100049, -83.69584723599968)",32.8717881510004,-83.69584723599968
110203,WESLEY WOODS GERIATRIC HOSPITAL,"1821 CLIFTON ROAD, NE",,,ATLANTA,GA,30329,DEKALB,4047286250,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,"1821 CLIFTON ROAD, NE
ATLANTA, GA 30329
(33.80301885500046, -84.33308766599964)",33.8030188550004,-84.33308766599964
110205,NORTH GEORGIA MEDICAL CENTER,1362 SOUTH MAIN STREET,,,ELLIJAY,GA,30540,GILMER,7062764741,Acute Care Hospitals,Proprietary,TRUE,"1362 SOUTH MAIN STREET
ELLIJAY, GA 30540
(34.67838273400048, -84.49293110999969)",34.6783827340004,-84.49293110999969
110209,TURNING POINT HOSPITAL,3015 VETERANS PARKWAY,,,MOULTRIE,GA,31788,COLQUITT,2299854815,Acute Care Hospitals,Proprietary,FALSE,"3015 VETERANS PARKWAY
MOULTRIE, GA 31788
(31.132333706000452, -83.77141915899966)",31.13233370600045,-83.77141915899966
110215,PIEDMONT FAYETTE HOSPITAL,1255 HIGHWAY 54 WEST,,,FAYETTEVILLE,GA,30214,FAYETTE,7707197071,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,"1255 HIGHWAY 54 WEST
FAYETTEVILLE, GA 30214
(33.451038938000465, -84.50697194199967)",33.45103893800046,-84.50697194199967
110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC,1266 HIGHWAY 515 SOUTH,,,JASPER,GA,30143,PICKENS,7063015269,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"1266 HIGHWAY 515 SOUTH
JASPER, GA 30143
(34.447415968000485, -84.44656600799965)",34.44741596800048,-84.44656600799965
110226,DEKALB MEDICAL CENTER AT HILLANDALE,2801 DEKALB MEDICAL PARKWAY,,,LITHONIA,GA,30058,DEKALB,4045018040,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"2801 DEKALB MEDICAL PARKWAY
LITHONIA, GA 30058
(33.70637262700046, -84.14689603299968)",33.7063726270004,-84.14689603299968
110229,"PIEDMONT NEWNAN HOSPITAL, INC",745 POPLAR ROAD,,,NEWNAN,GA,30265,COWETA,7704002300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"745 POPLAR ROAD
NEWNAN, GA 30265
(33.35940184900045, -84.75474734399967)",33.3594018490004,-84.75474734399967
110230,EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PARKWAY,,,JOHNS CREEK,GA,30097,CHATTOOGA,6784747000,Acute Care Hospitals,Proprietary,TRUE,"6325 HOSPITAL PARKWAY
JOHNS CREEK, GA 30097
(34.06749856500045, -84.17527986699969)",34.0674985650004,-84.17527986699969
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,600 PARKWAY NORTH,,,NEWNAN,GA,30265,COWETA,4048448334,Acute Care Hospitals,Proprietary,FALSE,"600 PARKWAY NORTH
NEWNAN, GA 30265
(33.39138361300047, -84.75529859199969)",33.3913836130004,-84.75529859199969
110234,SGMC BERRIEN CAMPUS,1221 E MCPHERSON AVENUE,,,NASHVILLE,GA,31639,BERRIEN,2295437100,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1221 E MCPHERSON AVENUE
NASHVILLE, GA 31639
(31.203634215000477, -83.23841753299968)",31.20363421500047,-83.23841753299968
11029F,DECATUR (ATLANTA) VA MEDICAL CENTER,1670 CLAIRMONT ROAD,,,DECATUR,GA,30033,,4043216111,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,FALSE,"1670 CLAIRMONT ROAD
DECATUR, GA 30033
(33.80315381400044, -84.31065284799968)",33.8031538140004,-84.31065284799968
11030F,AUGUSTA VA MEDICAL CENTER,950 15TH STREET,,,AUGUSTA,GA,30901,,7068232201,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,FALSE,"950 15TH STREET
AUGUSTA, GA 30901
(33.47365936500046, -81.98904903099964)",33.4736593650004,-81.98904903099964
11031F,DUBLIN VA MEDICAL CENTER,1826 VETERANS BOULEVARD,,,DUBLIN,GA,31021,,4782772701,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,FALSE,"1826 VETERANS BOULEVARD
DUBLIN, GA 31021
(32.53824467400045, -82.94035968299966)",32.5382446740004,-82.94035968299966
111300,SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER,361 RANDOLPH STREET,,,CUTHBERT,GA,39840,RANDOLPH,2297322181,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"361 RANDOLPH STREET
CUTHBERT, GA 39840
(31.77476361200047, -84.79311142299969)",31.7747636120004,-84.79311142299969
111302,BLECKLEY MEMORIAL HOSPITAL,145 EAST PEACOCK STREET,,,COCHRAN,GA,31014,BLECKLEY,4789346211,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"145 EAST PEACOCK STREET
COCHRAN, GA 31014
(32.384582931000466, -83.34588967299965)",32.38458293100046,-83.34588967299965
111303,JASPER MEMORIAL HOSPITAL,898 COLLEGE STREET,,,MONTICELLO,GA,31064,JASPER,7064686411,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,"898 COLLEGE STREET
MONTICELLO, GA 31064
(33.314595530000474, -83.68690842599966)",33.31459553000047,-83.68690842599966
111304,MORGAN MEMORIAL HOSPITAL,1077 SOUTH MAIN STREET,,,MADISON,GA,30650,MORGAN,7063421667,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"1077 SOUTH MAIN STREET
MADISON, GA 30650
(33.58401330300046, -83.47996147099968)",33.5840133030004,-83.47996147099968
111305,MILLER COUNTY HOSPITAL,209 N CUTHBERT STREET,,,COLQUITT,GA,39837,MILLER,2297584231,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"209 N CUTHBERT STREET
COLQUITT, GA 39837
(31.175031943000477, -84.73457855599969)",31.17503194300047,-84.73457855599969
111306,EFFINGHAM COUNTY HOSPITAL,459 GA HIGHWAY 119 SOUTH,,,SPRINGFIELD,GA,31329,EFFINGHAM,9127540160,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"459 GA HIGHWAY 119 SOUTH
SPRINGFIELD, GA 31329
(32.36470174800047, -81.32170957399967)",32.3647017480004,-81.32170957399967
111308,CLINCH MEMORIAL HOSPITAL,1050 VALDOSTA HIGHWAY,,,HOMERVILLE,GA,31634,CLINCH,9124875211,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"1050 VALDOSTA HIGHWAY
HOMERVILLE, GA 31634
(31.032768407000447, -82.76355861499968)",31.03276840700044,-82.76355861499968
111310,"MEDICAL CENTER OF PEACH COUNTY, THE",1960 HIGHWAY 247 CONNECTOR,,,BYRON,GA,31008,PEACH,4786542000,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"1960 HIGHWAY 247 CONNECTOR
BYRON, GA 31008
(32.64924405200048, -83.77034725999965)",32.6492440520004,-83.77034725999965
111313,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,,,EATONTON,GA,31024,PUTNAM,7064852711,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"101 LAKE OCONEE PARKWAY
EATONTON, GA 31024
(33.33545179900045, -83.37098257299965)",33.3354517990004,-83.37098257299965
111314,PIONEER COMMUNITY HOSPITAL OF EARLY,11740 COLUMBIA STREET,,,BLAKELY,GA,39823,EARLY,2297234241,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,"11740 COLUMBIA STREET
BLAKELY, GA 39823
(31.37431012300044, -84.94632025299967)",31.3743101230004,-84.94632025299967
111315,CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,,,FOLKSTON,GA,31537,CHARLTON,9124962531,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"2449 THIRD STREET
FOLKSTON, GA 31537
(30.844573829000467, -82.00454446499964)",30.84457382900046,-82.00454446499964
111316,WARM SPRINGS MEDICAL CENTER,5995 SPRING STREET,,,WARM SPRINGS,GA,31830,MERIWETHER,7066559351,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,"5995 SPRING STREET
WARM SPRINGS, GA 31830
(32.89079478400049, -84.68366392599967)",32.8907947840004,-84.68366392599967
111318,MONROE COUNTY HOSPITAL,88 MARTIN LUTHER KING JR DRIVE,,,FORSYTH,GA,31029,MONROE,4789942521,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"88 MARTIN LUTHER KING JR DRIVE
FORSYTH, GA 31029
(33.03155290200044, -83.94649910099969)",33.0315529020004,-83.94649910099969
111319,SYLVAN GROVE HOSPITAL,1050 MCDONOUGH ROAD,,,JACKSON,GA,30233,BUTTS,7707757861,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"1050 MCDONOUGH ROAD
JACKSON, GA 30233
(33.303823157000465, -83.97891380199968)",33.30382315700046,-83.97891380199968
111320,HIGGINS GENERAL HOSPITAL,200 ALLEN MEMORIAL DRIVE,,,BREMEN,GA,30110,HARALSON,7708242210,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"200 ALLEN MEMORIAL DRIVE
BREMEN, GA 30110
(33.71638633900045, -85.14456245599968)",33.7163863390004,-85.14456245599968
111321,"LOWER OCONEE COMMUNITY HOSPITAL, INC",111 N THIRD STREET,,,GLENWOOD,GA,30428,WHEELER,9125235113,Critical Access Hospitals,Proprietary,TRUE,"111 N THIRD STREET
GLENWOOD, GA 30428
(32.17966266600047, -82.67145910599965)",32.1796626660004,-82.67145910599965
111324,CHATUGE REGIONAL HOSPITAL,110 EAST MAIN STREET,,,HIAWASSEE,GA,30546,TOWNS,7068962222,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"110 EAST MAIN STREET
HIAWASSEE, GA 30546
(34.949591789000465, -83.75803891299967)",34.94959178900046,-83.75803891299967
111325,WILLS MEMORIAL HOSPITAL,120 GORDON STREET,,,WASHINGTON,GA,30673,WILKES,7066789212,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,"120 GORDON STREET
WASHINGTON, GA 30673
(33.72905359900045, -82.74100460299968)",33.7290535990004,-82.74100460299968
111326,LOUIS SMITH MEMORIAL HOSPITAL,116 WEST THIGPEN AVENUE,,,LAKELAND,GA,31635,LANIER,2294828402,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,"116 WEST THIGPEN AVENUE
LAKELAND, GA 31635
(31.040930115000435, -83.07662061799965)",31.04093011500043,-83.07662061799965
111327,BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,,,ALMA,GA,31510,BACON,9126328961,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,"302 SOUTH WAYNE STREET
ALMA, GA 31510
(31.539141911000456, -82.45961968699964)",31.53914191100045,-82.45961968699964
